cpu,mark,rank
Intel Xeon Gold 6338N @ 2.20GHz,42086,308
Intel Xeon E7-4880 v2 @ 2.50GHz,38263,309
Intel Xeon Gold 6330 @ 2.00GHz,42072,309
Intel Xeon E5-4627 v4 @ 2.60GHz,38201,310
Intel Xeon Gold 6312U @ 2.40GHz,41628,310
AMD Ryzen AI Max 390,41569,311
Intel Xeon E5-2698 v4 @ 2.20GHz,38089,311
Intel Core i7-14700F,41460,312
Intel Xeon Gold 6122 @ 1.80GHz,37934,312
Intel Xeon E7-8880 v4 @ 2.20GHz,37875,313
Apple M1 Ultra 20 Core,41366,313
Apple M3 Max 16 Core,41279,314
Intel Xeon E7-4850 v4 @ 2.10GHz,37802,314
Intel Xeon E5-2697 v4 @ 2.30GHz,37386,315
AMD EPYC 7F52,41202,315
Intel Xeon E5-4657L v2 @ 2.40GHz,36981,316
Intel Core i9-12900K,41159,316
Intel Xeon Gold 6242 @ 2.80GHz,36902,317
Intel Core i7-14790F,41012,317
Intel Core i9-13950HX,40994,318
Intel Xeon Gold 6149 @ 3.10GHz,36738,318
Intel Core i7-14700,40845,319
Intel Xeon Gold 6138T @ 2.00GHz,36497,319
Intel Xeon Platinum 8275CL @ 3.00GHz,40794,320
Intel Xeon E7-8857 v2 @ 3.00GHz,36304,320
Intel Xeon w5-2545,40782,321
